"uf";"nome_municipio";"cod_tse";"cod_ibge";"abstencoes";"p_abstencoes";"nulos";"p_nulos";"brancos";"p_brancos"
"SP";"BERTIOGA";"61280";"3506359";"12092";"25,10";"2232";"6,18";"2029";"5,63"
"SP";"BILAC";"62278";"3506409";"1435";"22,40";"308";"6,19";"172";"3,46"
"SP";"BIRIGUI";"62294";"3506508";"19881";"22,29";"6007";"8,67";"4504";"6,49"
"SP";"BIRITIBA MIRIM";"62316";"3506607";"5157";"21,52";"1600";"8,51";"1608";"8,55"
"SP";"BOA ESPERANÇA DO SUL";"62332";"3506706";"2341";"22,33";"531";"6,52";"467";"5,73"
"SP";"BOCAINA";"62359";"3506805";"2005";"21,97";"616";"8,65";"482";"6,76"
"SP";"BOFETE";"62375";"3506904";"2437";"28,34";"495";"8,03";"383";"6,22"
"SP";"BOITUVA";"62391";"3507001";"10925";"23,55";"2831";"7,98";"2209";"6,23"
"SP";"BOM JESUS DOS PERDÕES";"62413";"3507100";"3940";"21,44";"1289";"8,93";"1092";"7,56"
"SP";"BOM SUCESSO DE ITARARÉ";"61786";"3507159";"740";"22,19";"126";"4,86";"94";"3,62"
"SP";"BORACÉIA";"62456";"3507308";"872";"21,86";"220";"7,06";"196";"6,29"
"SP";"BORBOREMA";"62472";"3507407";"2809";"24,34";"660";"7,56";"411";"4,71"
"SP";"BOREBI";"61026";"3507456";"480";"21,60";"98";"5,63";"81";"4,65"
"SP";"BORÁ";"62430";"3507209";"192";"18,48";"40";"4,72";"38";"4,49"
"SP";"BOTUCATU";"62499";"3507506";"20179";"18,81";"7547";"8,67";"5744";"6,59"
"SP";"BRAGANÇA PAULISTA";"62510";"3507605";"29793";"22,01";"8701";"8,24";"7383";"7,00"
"SP";"BRAÚNA";"62553";"3507704";"830";"19,43";"183";"5,32";"153";"4,44"
"SP";"BREJO ALEGRE";"62081";"3507753";"543";"21,12";"146";"7,20";"112";"5,52"
"SP";"BRODOWSKI";"62570";"3507803";"4006";"22,07";"1146";"8,10";"953";"6,74"
"SP";"BROTAS";"62596";"3507902";"5070";"26,80";"1094";"7,90";"913";"6,59"
"SP";"BURI";"62618";"3508009";"3952";"24,97";"707";"5,95";"778";"6,56"
"SP";"BURITAMA";"62634";"3508108";"3576";"26,17";"697";"6,91";"608";"6,03"
"SP";"BURITIZAL";"62650";"3508207";"815";"21,34";"212";"7,05";"141";"4,70"
"SP";"BÁLSAMO";"61956";"3504800";"1480";"19,79";"337";"5,62";"280";"4,66"
"SP";"CABREÚVA";"62693";"3508405";"7420";"20,95";"2414";"8,62";"2151";"7,68"
"SP";"CABRÁLIA PAULISTA";"62677";"3508306";"736";"21,70";"187";"7,04";"177";"6,66"
"SP";"CACHOEIRA PAULISTA";"62731";"3508603";"6149";"24,13";"1172";"6,06";"1128";"5,84"
"SP";"CACONDE";"62758";"3508702";"3938";"27,02";"744";"7,00";"632";"5,94"
"SP";"CAFELÂNDIA";"62774";"3508801";"3397";"25,71";"592";"6,03";"572";"5,83"
"SP";"CAIABU";"62790";"3508900";"557";"16,80";"104";"3,77";"77";"2,79"
"SP";"CAIEIRAS";"62812";"3509007";"13900";"19,62";"4689";"8,23";"3574";"6,28"
"SP";"CAIUÁ";"62839";"3509106";"995";"25,26";"168";"5,71";"78";"2,65"
"SP";"CAJAMAR";"62855";"3509205";"13722";"20,19";"4252";"7,84";"4088";"7,53"
"SP";"CAJATI";"61484";"3509254";"6916";"28,67";"1194";"6,94";"981";"5,70"
"SP";"CAJOBI";"62871";"3509304";"1804";"23,00";"389";"6,44";"288";"4,77"
"SP";"CAJURU";"62898";"3509403";"4854";"25,14";"1293";"8,95";"1133";"7,84"
"SP";"CAMPINA DO MONTE ALEGRE";"61506";"3509452";"1074";"21,70";"259";"6,68";"179";"4,62"
"SP";"CAMPINAS";"62910";"3509502";"192955";"21,96";"53112";"7,74";"38694";"5,65"
"SP";"CAMPO LIMPO PAULISTA";"62936";"3509601";"13212";"21,48";"4239";"8,78";"3241";"6,70"
"SP";"CAMPOS DO JORDÃO";"62952";"3509700";"10382";"26,06";"2816";"9,56";"2730";"9,26"
"SP";"CAMPOS NOVOS PAULISTA";"62979";"3509809";"900";"23,72";"149";"5,15";"143";"4,94"
"SP";"CANANÉIA";"62995";"3509908";"2224";"22,41";"530";"6,88";"353";"4,59"
"SP";"CANAS";"62103";"3509957";"845";"21,47";"200";"6,47";"167";"5,41"
"SP";"CANITAR";"61344";"3510153";"712";"18,22";"229";"7,17";"221";"6,91"
"SP";"CAPELA DO ALTO";"63070";"3510302";"3313";"22,24";"709";"6,12";"754";"6,51"
"SP";"CAPIVARI";"63096";"3510401";"8491";"21,64";"2299";"7,48";"2203";"7,17"
"SP";"CAPÃO BONITO";"63053";"3510203";"8975";"24,60";"1788";"6,50";"2133";"7,76"
"SP";"CARAGUATATUBA";"63118";"3510500";"24614";"23,42";"5634";"7,00";"4849";"6,03"
"SP";"CARAPICUÍBA";"63134";"3510609";"65172";"21,71";"18358";"7,81";"17193";"7,32"
"SP";"CARDOSO";"63150";"3510708";"3097";"30,31";"492";"6,91";"443";"6,22"
"SP";"CASA BRANCA";"63177";"3510807";"5553";"26,65";"1280";"8,38";"1203";"7,87"
"SP";"CASTILHO";"63215";"3511003";"3753";"23,86";"785";"6,55";"787";"6,58"
"SP";"CATANDUVA";"63231";"3511102";"18613";"21,16";"5682";"8,19";"3701";"5,34"
"SP";"CATIGUÁ";"63258";"3511201";"1093";"18,77";"515";"10,89";"281";"5,94"
"SP";"CAÇAPAVA";"62715";"3508504";"16017";"21,42";"4505";"7,67";"3699";"6,29"
"SP";"CEDRAL";"63274";"3511300";"1583";"20,57";"400";"6,54";"299";"4,89"
"SP";"CERQUEIRA CÉSAR";"63290";"3511409";"4482";"27,98";"814";"7,06";"937";"8,12"
"SP";"CERQUILHO";"63312";"3511508";"8218";"22,35";"2467";"8,64";"2026";"7,09"
"SP";"CESÁRIO LANGE";"63339";"3511607";"3388";"24,26";"1092";"10,33";"916";"8,66"
"SP";"CHARQUEADA";"63355";"3511706";"2885";"21,70";"743";"7,14";"631";"6,06"
"SP";"CHAVANTES";"63371";"3557204";"1454";"16,58";"502";"6,86";"460";"6,29"
"SP";"CLEMENTINA";"63398";"3511904";"1170";"21,19";"318";"7,31";"199";"4,57"
"SP";"COLINA";"63410";"3512001";"3837";"25,57";"748";"6,70";"743";"6,65"
"SP";"COLÔMBIA";"63436";"3512100";"1552";"26,62";"280";"6,55";"192";"4,48"
"SP";"CONCHAL";"63452";"3512209";"4354";"19,74";"1407";"7,95";"1540";"8,70"
