"uf";"nome_municipio";"cod_tse";"cod_ibge";"numero_candidato";"votos_abs";"votos_perc"
"SP";"ALTO ALEGRE";"61212";"3501103";"21";"1";"0,04"
"SP";"ALUMÍNIO";"61220";"3501152";"10";"4047";"41,18"
"SP";"ALUMÍNIO";"61220";"3501152";"30";"79";"0,80"
"SP";"ALUMÍNIO";"61220";"3501152";"12";"114";"1,16"
"SP";"ALUMÍNIO";"61220";"3501152";"27";"5";"0,05"
"SP";"ALUMÍNIO";"61220";"3501152";"13";"3445";"35,05"
"SP";"ALUMÍNIO";"61220";"3501152";"80";"63";"0,64"
"SP";"ALUMÍNIO";"61220";"3501152";"45";"2052";"20,88"
"SP";"ALUMÍNIO";"61220";"3501152";"29";"1";"0,01"
"SP";"ALUMÍNIO";"61220";"3501152";"16";"3";"0,03"
"SP";"ALUMÍNIO";"61220";"3501152";"21";"19";"0,19"
"SP";"ALVINLÂNDIA";"61298";"3501509";"10";"753";"40,55"
"SP";"ALVINLÂNDIA";"61298";"3501509";"30";"4";"0,22"
"SP";"ALVINLÂNDIA";"61298";"3501509";"12";"6";"0,32"
"SP";"ALVINLÂNDIA";"61298";"3501509";"27";"1";"0,05"
"SP";"ALVINLÂNDIA";"61298";"3501509";"13";"631";"33,98"
"SP";"ALVINLÂNDIA";"61298";"3501509";"80";"0";"00,00"
"SP";"ALVINLÂNDIA";"61298";"3501509";"45";"460";"24,77"
"SP";"ALVINLÂNDIA";"61298";"3501509";"29";"0";"00,00"
"SP";"ALVINLÂNDIA";"61298";"3501509";"16";"1";"0,05"
"SP";"ALVINLÂNDIA";"61298";"3501509";"21";"1";"0,05"
"SP";"AMERICANA";"61310";"3501608";"10";"71780";"56,91"
"SP";"AMERICANA";"61310";"3501608";"30";"2127";"1,69"
"SP";"AMERICANA";"61310";"3501608";"12";"1390";"1,10"
"SP";"AMERICANA";"61310";"3501608";"27";"57";"0,05"
"SP";"AMERICANA";"61310";"3501608";"13";"32746";"25,96"
"SP";"AMERICANA";"61310";"3501608";"80";"498";"0,39"
"SP";"AMERICANA";"61310";"3501608";"45";"17186";"13,63"
"SP";"AMERICANA";"61310";"3501608";"29";"25";"0,02"
"SP";"AMERICANA";"61310";"3501608";"16";"35";"0,03"
"SP";"AMERICANA";"61310";"3501608";"21";"283";"0,22"
"SP";"AMPARO";"61379";"3501905";"10";"19964";"54,40"
"SP";"AMPARO";"61379";"3501905";"30";"462";"1,26"
"SP";"AMPARO";"61379";"3501905";"12";"269";"0,73"
"SP";"AMPARO";"61379";"3501905";"27";"13";"0,04"
"SP";"AMPARO";"61379";"3501905";"13";"8751";"23,85"
"SP";"AMPARO";"61379";"3501905";"80";"114";"0,31"
"SP";"AMPARO";"61379";"3501905";"45";"7033";"19,17"
"SP";"AMPARO";"61379";"3501905";"29";"5";"0,01"
"SP";"AMPARO";"61379";"3501905";"16";"19";"0,05"
"SP";"AMPARO";"61379";"3501905";"21";"67";"0,18"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"10";"6330";"33,68"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"30";"136";"0,72"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"12";"129";"0,69"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"27";"5";"0,03"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"13";"8393";"44,66"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"80";"45";"0,24"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"45";"3722";"19,81"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"29";"1";"0,01"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"16";"8";"0,04"
"SP";"AMÉRICO BRASILIENSE";"61336";"3501707";"21";"24";"0,13"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"10";"1828";"50,93"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"30";"17";"0,47"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"12";"11";"0,31"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"27";"0";"00,00"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"13";"875";"24,38"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"80";"4";"0,11"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"45";"852";"23,74"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"29";"0";"00,00"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"16";"1";"0,03"
"SP";"AMÉRICO DE CAMPOS";"61352";"3501806";"21";"1";"0,03"
"SP";"ANALÂNDIA";"61395";"3502002";"10";"1586";"56,76"
"SP";"ANALÂNDIA";"61395";"3502002";"30";"23";"0,82"
"SP";"ANALÂNDIA";"61395";"3502002";"12";"46";"1,65"
"SP";"ANALÂNDIA";"61395";"3502002";"27";"0";"00,00"
"SP";"ANALÂNDIA";"61395";"3502002";"13";"593";"21,22"
"SP";"ANALÂNDIA";"61395";"3502002";"80";"6";"0,21"
"SP";"ANALÂNDIA";"61395";"3502002";"45";"535";"19,15"
"SP";"ANALÂNDIA";"61395";"3502002";"29";"0";"00,00"
"SP";"ANALÂNDIA";"61395";"3502002";"16";"2";"0,07"
"SP";"ANALÂNDIA";"61395";"3502002";"21";"3";"0,11"
"SP";"ANDRADINA";"61417";"3502101";"10";"15438";"52,08"
"SP";"ANDRADINA";"61417";"3502101";"30";"209";"0,71"
"SP";"ANDRADINA";"61417";"3502101";"12";"184";"0,62"
"SP";"ANDRADINA";"61417";"3502101";"27";"10";"0,03"
"SP";"ANDRADINA";"61417";"3502101";"13";"8372";"28,24"
"SP";"ANDRADINA";"61417";"3502101";"80";"43";"0,15"
"SP";"ANDRADINA";"61417";"3502101";"45";"5347";"18,04"
"SP";"ANDRADINA";"61417";"3502101";"29";"7";"0,02"
"SP";"ANDRADINA";"61417";"3502101";"16";"9";"0,03"
"SP";"ANDRADINA";"61417";"3502101";"21";"22";"0,07"
"SP";"ANGATUBA";"61433";"3502200";"10";"6114";"50,95"
"SP";"ANGATUBA";"61433";"3502200";"30";"78";"0,65"
"SP";"ANGATUBA";"61433";"3502200";"12";"57";"0,48"
"SP";"ANGATUBA";"61433";"3502200";"27";"5";"0,04"
"SP";"ANGATUBA";"61433";"3502200";"13";"4125";"34,38"
"SP";"ANGATUBA";"61433";"3502200";"80";"23";"0,19"
"SP";"ANGATUBA";"61433";"3502200";"45";"1583";"13,19"
"SP";"ANGATUBA";"61433";"3502200";"29";"1";"0,01"
"SP";"ANGATUBA";"61433";"3502200";"16";"6";"0,05"
"SP";"ANGATUBA";"61433";"3502200";"21";"7";"0,06"
"SP";"ANHEMBI";"61450";"3502309";"10";"1813";"51,23"
"SP";"ANHEMBI";"61450";"3502309";"30";"19";"0,54"
"SP";"ANHEMBI";"61450";"3502309";"12";"25";"0,71"
"SP";"ANHEMBI";"61450";"3502309";"27";"1";"0,03"
"SP";"ANHEMBI";"61450";"3502309";"13";"1019";"28,79"
"SP";"ANHEMBI";"61450";"3502309";"80";"4";"0,11"
"SP";"ANHEMBI";"61450";"3502309";"45";"654";"18,48"
"SP";"ANHEMBI";"61450";"3502309";"29";"0";"00,00"
"SP";"ANHEMBI";"61450";"3502309";"16";"0";"00,00"
"SP";"ANHEMBI";"61450";"3502309";"21";"4";"0,11"
"SP";"ANHUMAS";"61476";"3502408";"10";"966";"39,20"
"SP";"ANHUMAS";"61476";"3502408";"30";"2";"0,08"
"SP";"ANHUMAS";"61476";"3502408";"12";"6";"0,24"
"SP";"ANHUMAS";"61476";"3502408";"27";"0";"00,00"
"SP";"ANHUMAS";"61476";"3502408";"13";"685";"27,80"
"SP";"ANHUMAS";"61476";"3502408";"80";"1";"0,04"
"SP";"ANHUMAS";"61476";"3502408";"45";"803";"32,59"
"SP";"ANHUMAS";"61476";"3502408";"29";"0";"00,00"
"SP";"ANHUMAS";"61476";"3502408";"16";"1";"0,04"
"SP";"ANHUMAS";"61476";"3502408";"21";"0";"00,00"
"SP";"APARECIDA";"61492";"3502507";"10";"10437";"51,86"
"SP";"APARECIDA";"61492";"3502507";"30";"283";"1,41"
"SP";"APARECIDA";"61492";"3502507";"12";"179";"0,89"
"SP";"APARECIDA";"61492";"3502507";"27";"17";"0,08"
"SP";"APARECIDA";"61492";"3502507";"13";"5296";"26,32"
"SP";"APARECIDA";"61492";"3502507";"80";"51";"0,25"
"SP";"APARECIDA";"61492";"3502507";"45";"3813";"18,95"
"SP";"APARECIDA";"61492";"3502507";"29";"5";"0,02"
"SP";"APARECIDA";"61492";"3502507";"16";"12";"0,06"
"SP";"APARECIDA";"61492";"3502507";"21";"32";"0,16"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"10";"1051";"38,32"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"30";"5";"0,18"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"12";"5";"0,18"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"27";"0";"00,00"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"13";"903";"32,92"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"80";"0";"00,00"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"45";"777";"28,33"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"29";"1";"0,04"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"16";"0";"00,00"
"SP";"APARECIDA D&apos;OESTE";"61514";"3502606";"21";"1";"0,04"
"SP";"APIAÍ";"61530";"3502705";"10";"4564";"36,40"
"SP";"APIAÍ";"61530";"3502705";"30";"56";"0,45"
"SP";"APIAÍ";"61530";"3502705";"12";"91";"0,73"
"SP";"APIAÍ";"61530";"3502705";"27";"6";"0,05"
"SP";"APIAÍ";"61530";"3502705";"13";"4676";"37,30"
"SP";"APIAÍ";"61530";"3502705";"80";"21";"0,17"
"SP";"APIAÍ";"61530";"3502705";"45";"3106";"24,77"
"SP";"APIAÍ";"61530";"3502705";"29";"0";"00,00"
"SP";"APIAÍ";"61530";"3502705";"16";"4";"0,03"
"SP";"APIAÍ";"61530";"3502705";"21";"13";"0,10"
"SP";"ARAMINA";"61590";"3503000";"10";"1251";"41,16"
"SP";"ARAMINA";"61590";"3503000";"30";"21";"0,69"
"SP";"ARAMINA";"61590";"3503000";"12";"17";"0,56"
"SP";"ARAMINA";"61590";"3503000";"27";"0";"00,00"
"SP";"ARAMINA";"61590";"3503000";"13";"1049";"34,52"
"SP";"ARAMINA";"61590";"3503000";"80";"5";"0,16"
"SP";"ARAMINA";"61590";"3503000";"45";"692";"22,77"
"SP";"ARAMINA";"61590";"3503000";"29";"1";"0,03"
"SP";"ARAMINA";"61590";"3503000";"16";"0";"00,00"
"SP";"ARAMINA";"61590";"3503000";"21";"3";"0,10"
"SP";"ARANDU";"61611";"3503109";"10";"1847";"49,58"
"SP";"ARANDU";"61611";"3503109";"30";"13";"0,35"
"SP";"ARANDU";"61611";"3503109";"12";"28";"0,75"
"SP";"ARANDU";"61611";"3503109";"27";"0";"00,00"
"SP";"ARANDU";"61611";"3503109";"13";"1127";"30,26"
"SP";"ARANDU";"61611";"3503109";"80";"4";"0,11"
"SP";"ARANDU";"61611";"3503109";"45";"697";"18,71"
"SP";"ARANDU";"61611";"3503109";"29";"1";"0,03"
"SP";"ARANDU";"61611";"3503109";"16";"3";"0,08"
"SP";"ARANDU";"61611";"3503109";"21";"5";"0,13"
"SP";"ARAPEÍ";"61646";"3503158";"10";"491";"29,00"
"SP";"ARAPEÍ";"61646";"3503158";"30";"0";"00,00"
"SP";"ARAPEÍ";"61646";"3503158";"12";"11";"0,65"
"SP";"ARAPEÍ";"61646";"3503158";"27";"0";"00,00"
"SP";"ARAPEÍ";"61646";"3503158";"13";"552";"32,60"
"SP";"ARAPEÍ";"61646";"3503158";"80";"0";"00,00"
"SP";"ARAPEÍ";"61646";"3503158";"45";"639";"37,74"
"SP";"ARAPEÍ";"61646";"3503158";"29";"0";"00,00"
"SP";"ARAPEÍ";"61646";"3503158";"16";"0";"00,00"
"SP";"ARAPEÍ";"61646";"3503158";"21";"0";"00,00"
"SP";"ARARAQUARA";"61638";"3503208";"10";"47331";"40,37"
"SP";"ARARAQUARA";"61638";"3503208";"30";"2001";"1,71"
